IDLink,SentimentTitle,SentimentHeadline
tFrqIR6Chj,0.050192352,-0.18670942
DVAaGErjlF,-0.16846897,0.02102771
OT9UIZm5M2,0.0011858223,-0.17708656
lflGp3q2Fj,-0.15009658,-0.21033752
zDYG0SoovZ,0.018649932,-0.04574707
xwr9uOYgEj,0.033622894,0.08019133
X8BqN4I4xZ,0.0179708,0.0779939
ESXBINkNt4,0.11110119,0.061290745
uUjZusP8FU,-0.2864327,0.15207835
VIxYwukhvK,0.07723443,-0.05366202
l3Dpj2u50Q,0.0011460455,-0.023094414
jfyxBOF13g,-0.0056818686,0.044876095
IYcbOcTf6P,-0.09048128,-0.23165818
hTe22HCWtU,0.0445656,-0.20984688
FqhiT2wNpN,0.07935198,-0.0035880678
CjvbpYX11C,-0.08392335,-0.012380507
JQWiOBrh9Z,0.10867063,0.10889542
pWqQHVfXv3,-0.00011223322,-0.108651504
PuMC340lVv,-0.15009658,-0.21033752
Gu0df3QxHX,-0.081606954,0.06150366
buyxHRAB2O,-0.091718234,0.060792807
BhOcTD5Su2,0.21448554,0.02600915
eLjGHMUAdd,0.16305426,0.33299264
lvvPy5NP6d,-0.033538416,-0.2067131
cyDWoQL2lO,-0.11194517,0.036156494
NSq5fdSi1G,-0.06903757,-0.11714673
85qWIc2blh,-0.009321548,0.22953692
golUOJ8mlJ,-0.0010166615,0.08401859
ENZFgK1N2B,-0.1845607,0.01706377
3UlWbFDlN3,0.04396035,0.062008467
B66KUMjyM6,-0.033032537,0.025223155
XUOaACxkex,-0.27890384,-0.113996014
90LQYGOLJe,-0.012808777,-0.091582745
66u6kjadpY,-0.019426148,-0.10816951
qG3hUONMbq,-0.012846051,0.12544942
Cfxeb52jkH,0.06307027,-0.12587836
qKSt9gOTzv,-0.010288072,0.037143733
MVaKNVVTfV,-0.002494749,-0.08888906
AiSOqy1D6E,0.0012443345,0.06032842
h3YeKl4iEa,0.0005664192,-0.09728266
qH75SbjLV5,-0.40920728,-0.25790706
8tMtfUiIvY,-0.0075396337,-0.064730555
lRECMiFvsF,-0.012418304,0.17836818
2Jv7ADWzps,0.056486946,-0.06061284
RXHuXSKdN1,-0.029263608,0.12605512
72eBI05rkC,0.19084062,-0.09895979
aZAL2OUopN,0.19086286,-0.09621629
SrQmSub7Su,0.07158269,0.027071651
jGl5QVFq62,-0.117388986,-0.06361461
gNFOSMIprN,0.04396035,-0.108492315
z1FwdySC8b,0.08444903,-0.06865908
NUixgOQ2Ds,0.12200421,-0.18120487
kVzfO1qEF6,0.04396035,-0.22081406
JqWJong3uG,0.20683332,-0.053540245
oOFTvBzN9n,-0.25027338,-0.08941637
KqhQzWHMkP,0.0033224784,-0.18789925
EHNlCODnUb,-0.1613408,-0.1638004
utdMIMlFt6,0.0053350367,0.02354293
reov8NCxVE,0.049098782,-0.120002
IjgEHgi6C0,0.23825848,0.19415386
PPA17wNSo4,-0.096833035,-0.28478405
kDcqBZfL6Z,-0.0017912143,0.008713827
5vrwpTkFX0,0.05969062,-0.17531632
e1Am2LcL6q,-0.11819727,-0.099411055
BCW4uDI79i,-0.0018150257,0.055026818
GhsAvQxufi,0.03641972,0.03696443
TUXlr8j0Jf,-0.01918878,-0.013519245
F6Kurxkhsb,0.04396035,0.06294207
pu7m9l8IdZ,-0.023798712,-0.18789925
NtSa3fslCm,-0.012335249,0.08057243
ADOyfjBWka,-0.12646541,-0.3385722
WeHmCsxgjd,0.08544223,-0.043591462
xTSrOtLZ4q,0.3160273,-0.07836965
MYH193fCKu,0.04806832,-0.011116888
u1y4r8TwIU,-0.41909286,-0.296768
g4tFzvqcI5,0.096878916,0.059399057
j513X7mPrJ,-0.13630995,0.20859805
amshiZe6UY,-0.10629204,0.10912627
tgkeH242IX,-0.0015980257,0.0730944
nXPSgZYl9a,0.0031235088,-0.17812108
kpLPkLUhyO,-0.26359084,-0.017479295
4ktjkm3BNk,0.18109596,-0.074468136
RTyrdJQ8Dp,0.0054110093,0.12910686
CtG8GweoIq,0.04263874,0.002657055
L00akWwk2x,-0.083707765,0.051884938
LXyTK4jVyA,0.26277938,0.026507568
UnXhPiKpzD,-0.069932885,-0.006179455
DGNEQufSrb,-0.14003478,-0.05406089
zOPdNMW9uC,0.004793913,-0.0824139
yHBHcgAO8N,0.19856496,-0.0790773
xyU9kiwWzl,0.118459865,0.13160922
jZy8EjJOi5,-0.40200326,-0.04932966
3vijCSykZr,0.17336807,-0.0016401717
wStjauGkW0,-0.06623511,-0.09909804
7QoNAvMsTn,-0.10599786,-0.16470884
N1NxBOTzKi,0.054301143,-0.02690554
nZ1IOjSdX7,0.076012835,0.049242515
BGvgVb2nDS,-0.23985922,-0.14698997
zIFz5L7kIi,-0.22756909,-0.03578295
tHvqpzKhvW,0.1663427,0.0017748149
sKK9ufsJu4,-0.0020547828,-0.054601926
h17Y5wYLUn,0.098901846,0.05840059
NORFZleWew,0.3160273,-0.062148236
9b7ebNWMrL,0.014511536,-0.1461339
0wkZI3AtiF,0.23291132,-0.28595442
dzGkGtpvn5,-0.14067236,-0.029842094
5vLx92dYUQ,0.054301143,-0.12423116
irmnquODRc,0.019012012,0.21716659
bIemEY29YW,-0.02980265,0.09261474
swbl6Zw1pp,-0.03937263,-0.091025695
GTmEYY8eNn,-0.07586926,-0.04989324
Q4NRtcRi7U,-0.019102614,0.029905818
cOLQnQtHOw,-0.08836758,0.11912285
sQj3IZFgiJ,0.3160273,-0.1886326
Q4kqirCmVk,-0.24475263,0.11254454
OzNPINYjW8,-0.00533351,0.27242455
YPT11fE9jW,0.04666463,-0.24510393
6Y5eHAo9mi,0.064212136,0.10591011
LWAiHRen4A,-0.0033372617,-0.14052218
cXs2WsDsZs,0.06447061,-0.051828343
JRGyEYK1qR,0.0013493518,0.1657789
pscU1VfZmn,0.002054932,0.45708272
e5kAtxV6y6,-0.040814787,0.04926617
ngDdeCUV6a,0.002054932,0.028180853
2DzN9LsPHh,-0.056055866,0.08215463
X9CsGVrY1Z,-0.21884754,-0.3205826
hWN86xaIMQ,0.009160879,0.065335184
lqz7qAtAN4,0.04666463,-0.25909922
CQjSgOM2jK,0.04666463,-0.2108237
WobbaGvRfu,0.13058425,0.004070757
hwMCvUGPUL,0.029574897,0.10591732
u2BIxtNi9i,0.33765477,0.14248306
E3NfFvOauk,-0.0011736844,0.05589943
ani3ifFzdd,0.0011460455,-0.05610463
aCHYrPldp8,-0.02080547,0.051794156
avJJQp0YSB,0.3160273,-0.048079643
T0PEWKKN3O,0.3160273,-0.048079643
INtssIfcnc,0.013638507,-0.13313308
3SPnYFulNh,-0.023040064,-0.17743054
MZ2cm5gdrg,-0.17601076,-0.038601786
daxkkMq6i9,0.3160273,-0.048079643
bxBlOnQCpz,-0.046180446,0.018528458
DOJNka3ObI,0.007993393,-0.08898103
OinulvW3Sz,0.049821,0.076689854
gXvoVOmBsS,0.014806821,-0.04466324
m7nDReJLOi,-0.11298721,-0.09353943
VW5Ydtr6Ye,0.02898243,0.006531406
SaXWh1kTni,-0.03528849,0.013110731
mWx5SV05li,-0.17916961,-0.28816822
uIUE3if0cq,0.034396786,-0.11826971
LVCtl0wN2R,-0.2558939,0.0747097
im3BtCOYPf,-0.25778082,-0.21486472
7XN3AlgNMl,-0.16700628,-0.022959074
CMseQ3X2nX,-0.17185096,-0.015372954
3rT5KAbl71,-0.21378435,-0.10702135
J4BicMNrhF,-0.018991359,-0.12840214
ycvH9It0sO,0.06758546,-0.3771665
Rl4LUp69w7,-0.27890384,0.24055992
re0L8pWbak,-0.10026858,0.025134
wIor1QhQNC,0.34887022,-0.15953957
S98p53dtPC,-0.1299222,-0.19454153
TBxoloxM7r,0.045235563,-0.022851206
SgKzR6x82M,0.0036236877,-0.21803734
26cHGinB7q,-0.021587308,-0.06544508
BI4bcoaUkC,-0.36976996,-0.123983786
YIjsSIAPN2,0.10173391,-0.12799017
eWEE7x7IFu,-0.023782514,0.08435656
4OgN2Eiix0,-0.208755,-0.06542316
7EasNkNv7Y,-0.060633026,-0.05135934
CgxHF8bNGu,-0.04733838,0.019097203
CAAJwvX62W,-0.038252015,0.014505129
FOVHaR90ON,-0.208755,-0.06542316
Fh3E1yM5P3,-0.14656004,-0.15985054
XatCGZUXKP,-0.012583738,0.030469362
AwGSwzxluE,-0.002494749,-0.08855635
ruPrGBEkYP,-0.020750199,0.07758626
IMnMFQkENJ,0.022898156,-0.067281015
tRNN8oaHBx,0.09343092,0.0020359717
8NRKoTDhFp,0.019817889,0.09888193
bofTLzQkUE,0.08444903,-0.028750543
74vMDf4co4,-0.07293745,0.00419058
U6kZpaRFMf,-0.05840895,-0.06897884
BcqYTxDGs7,-0.208755,-0.06542316
SUB3B1Beed,-0.001055819,0.07646896
JEFDoD3FY1,-0.1458845,-0.121542856
PYfNcILRTJ,0.012175131,-0.17140597
OQdjGTnYfU,0.04919961,-0.021385346
zzzL6N4Bks,0.068197265,-0.115265965
BOuQEqffJs,0.0029654289,-0.15164645
xzEHn2cH93,0.06581553,0.023739189
yQSGXrtYRe,-0.0556624,-0.15800066
WeZxXJDXzm,-0.24274543,0.1567295
gQakgdMVmJ,-0.10723251,-0.0497471
k7spceAiOT,-0.017514447,-0.029029183
3CsvLo0Nzo,-0.16842358,-0.0746205
o9Vnj0Ajam,-0.0014189847,-0.0413341
fInKy7OLAU,-0.18059802,-0.08303945
936BjW6DEB,0.05963697,-0.12829839
zL7P81XYKu,-0.22814713,0.1307087
Swi01c205I,0.10173391,0.14142753
Kunx7Xr3J5,-0.013580351,-0.27406472
5LqeEDKdJL,-0.009102783,-0.32512453
lFaOE6bcpW,-0.06303311,-0.17153206
S4BLj7nGkc,-0.11728905,-0.124651164
dVBb2XcZM4,0.0838634,0.05191429
KtoKfinU4O,-0.038809597,-0.22259909
M31rsR1KNc,0.012017737,0.090045094
6EnfIIM2XK,-0.25816298,0.0730944
zNYo1bsNT3,-0.02020949,0.017561505
sGPC8tDoT8,-0.08359222,-0.07170037
joSF2RcStD,0.0012354366,0.08709158
AOpROUrdGN,-0.16842358,-0.028238814
7L4weTKRvz,-0.0011693502,-0.12189245
g9gQ0rpvaY,-0.008380419,0.15522325
6cJNqA5oyN,-0.08359222,-0.15522948
C506mQoP4r,-0.038536325,0.21137726
umBGDhHbvu,0.04978774,0.0409953
yAClQWljPW,-0.114865646,-0.21128194
2y0Q8GMrnb,-0.27743986,0.13500252
fSdwkkK3js,-0.114865646,-0.21128194
c85emcNhZQ,0.009534037,-0.15499838
LROYeysdhp,0.056048468,-0.15175726
ENh9UScBbT,0.034876984,0.14105158
vpIbfKtwMY,-0.03268454,-0.15078877
aBSlUKj11N,0.0016351435,-0.017054172
CDFce5bPPy,-0.09442019,-0.045657948
RY58DtRuj9,-0.08359222,-0.15522948
s7mvmZRbw1,-0.011443387,-0.043979976
fXr7JvMFXj,-0.10608097,-0.19519603
qi3544qZjC,0.05059942,-0.1453549
tUfnvm1MEw,0.07551088,-0.12856637
h9qTYZoeSX,0.107383415,-0.20117486
C9QEGld9kY,0.06938572,-0.04473608
A9EhIuMCFO,-0.08359222,-0.15522948
kXadMWThhc,-0.25038922,0.033338726
y2ufKr8yVQ,-0.080863334,-0.095587835
2dLJv6FNBj,-0.12250377,-0.15673812
JRmR8cGyuT,-0.00026547164,-0.26154822
YTX3DqVhO8,-0.00026547164,-0.26154822
ilh5loOJuB,0.0013328837,0.0065867677
r5bvylrfVI,-0.00026547164,-0.2631799
GlynezvHJG,0.083047196,-0.102843836
g91vPgHPNt,0.18075547,-0.22880445
7yYpEYfBPC,-0.0809823,-0.018647835
4yk2AjXE2t,0.40529317,-0.06303145
UzztQ903t0,-0.12060914,-0.044787996
8qV0QIYY5k,-0.04884924,0.30569404
0xQ5PJaCzC,0.05969062,-0.17531632
BfSKUGum9d,-0.14874053,-0.017479295
is5GXbFqzU,-0.10608097,-0.19519603
2lFQejjGWU,0.03514004,-0.20550215
CPCFQToMf6,0.04752794,-0.033763494
9aDFroDOAG,-0.062051352,-0.030544572
l7GOUOBvTX,-0.0740446,-0.15763122
tSk9DSLOfu,0.014928394,0.037119485
JIYg04sJzA,0.04191757,-0.033763494
nBQs3wwemE,0.0014166455,-0.10868651
5enRb6ExSY,0.18091235,-0.026206307
9PfQFI4AQF,0.056957804,-0.005070114
NjFv5IzSEQ,-0.04871058,-0.16578594
NnFmz3LMZ6,-0.10608097,-0.08107035
mzNB5NGy71,-0.024368733,0.008563975
kleI5cZKDs,0.0909709,-0.15206572
muRjamql8u,-0.09991546,-0.08782427
yUWKWMjQKw,0.07132931,-0.18880716
aFSc0W07SH,0.2807955,0.20317112
cuu4arivmX,0.058483694,0.21460775
aa3ShGYCzr,-0.09426345,-0.06503007
3u9q06UBAP,-0.27693087,0.0029249294
MajucQGZp8,0.050684705,0.073443055
mBDEVSUcRn,-0.044132605,-0.07202208
KFRLpHRLQ6,-0.00055836886,0.049923882
knxvu99mwo,-0.20247018,-0.087734535
Ra73vKvfFg,-0.21729204,-0.1333299
6mXl1ovnlf,-0.044702336,-0.0292204
KqbNDpKRdD,0.0672034,-0.14082691
GLydVx0Ymh,-0.2533634,-0.14645724
1i8fYBKH2a,0.19358703,-0.10564187
AD2ie3x2bS,-0.16681089,0.15215245
HLJv6HLvKo,-0.22756909,-0.052247934
YwTUW2xngC,-0.26668525,-0.31969324
V9r81ufShy,-0.085662834,-0.20443718
X53M7yEfNF,0.048088677,-0.13707705
XkpvYZvHhr,-0.123114415,-0.11504951
7X0WxaMCjR,-0.2597607,-0.14645724
t1QAq3AMAy,0.015843462,-0.19278827
CmOlykSLCh,-0.20621689,0.02826517
0AlwOogyqi,-0.19405091,-0.14645724
wkHKTPOXkr,-0.04530378,-0.06509113
QSfjHlElNu,-0.20672023,-0.08233465
0pbE6dUb3n,-0.27890384,-0.113996014
srr1zfIWg9,-0.38503593,-0.08754143
539Mz31fbD,0.10511161,0.23853512
jOYwq1ch2U,-0.0068984986,-0.30628398
75EByZCZ6w,0.035505485,0.027032424
iwml5iqGfg,0.00045924354,0.123625025
khOoYQDLyc,0.00045924354,0.123625025
7ijbPSYCGW,0.0949626,-0.10715653
hCgKLYy9BG,-0.0565938,-0.19519603
lTpjrI4nEX,0.06189009,-0.010819735
PERz7IzdQU,0.06977779,0.0018606158
z95gQaFMxr,0.002054932,0.39821714
ACO02rwoEM,0.00045924354,0.120631635
9uNI7LFpYX,-0.09223786,0.007961778
RLoZOvAES4,-0.039735347,-0.16472392
1Dc17L7UlF,-0.09345499,-0.13133696
CgjAxArwOf,0.015434246,0.018574487
wqttRE96uQ,0.07509771,-0.051472113
xdZ1YUmZps,0.004502571,-0.24468046
OFAN8C5F8U,-0.21003987,-0.20981862
XmulXROhMR,0.08730478,0.15640645
cB8WBBECi9,0.014596551,-0.112454
IKl67cvJBh,0.09337188,-0.2644565
GxUnt9z0pW,0.0023477823,-0.0035345368
C3ZFNCyEkO,0.057885837,-0.11531071
k3pFQmH3a4,0.030386675,-0.09638418
eh4j7W6AVC,0.20776886,-0.00394709
90DRL1kHgi,0.0036793184,0.056424666
N1d1usvqUB,-0.011361199,0.045560475
1aVhzM9GSD,0.069466434,-0.05320079
etawTWzBf8,-0.014819222,-0.43433404
z1huXaTRkA,0.015953861,0.11508401
JT9B2mUWD1,0.0042390367,0.02287341
WCtURxqyhf,-0.16842358,-0.04781226
R13vLT4Fbw,-0.07726534,0.039587036
KIX4CKJRv8,0.07607447,0.06536192
evtUbpnV6G,-0.24621528,-0.016644143
16ly5uucBe,0.070114374,-0.14549853
